ticker,current_price,previous_close_price,open_price,low_price,high_price,volume
AAPL,216.24,213.31,212.08,211.98,216.78,42201646
GOOGL,163.67,162.03,160.01,159.06,163.79,28602285
MSFT,406.02,402.69,404.00,402.26,408.02,19276666
AMZN,166.94,165.80,166.40,165.89,168.55,36401049
TSLA,200.00,198.84,197.02,195.11,200.88,58648274
META,517.77,509.63,507.74,505.74,518.34,13696640
NFLX,633.94,630.35,622.99,622.99,636.55,1980836
NVDA,104.75,104.97,105.57,103.44,106.60,290844157
BRK-A,647523.00,648888.00,648525.00,645672.31,652040.69,1231
JPM,205.80,204.06,203.47,202.90,206.47,4517074
JNJ,160.62,160.22,160.12,159.34,160.93,3435125
V,259.76,259.31,259.17,259.13,261.52,4769870
PG,170.54,170.87,170.12,169.67,171.26,4003082
DIS,86.21,85.96,86.13,84.72,86.25,12168557
MA,456.78,455.58,455.58,453.46,458.80,1760162
HD,348.64,348.34,347.89,345.39,351.53,1848881
VZ,40.75,40.52,40.49,40.03,40.80,7448647
ADBE,536.30,530.24,528.50,528.02,537.28,1272635
PYPL,64.72,64.28,64.80,64.47,65.50,8605324
INTC,19.71,20.49,20.08,19.50,20.15,76394546
CMCSA,39.08,39.35,39.07,38.70,39.37,13999553
CSCO,45.47,45.83,45.70,45.24,46.06,20403342
PEP,172.39,172.37,172.09,170.39,172.78,3223163
KO,68.68,68.73,68.70,68.25,68.79,7500017
NKE,74.34,74.19,74.12,73.37,74.58,7095471
